title	abstract	authors	year	url	identifiers	publisher	keywords	oai	doi	journal_title	journal_identifiers	relevance
The Effect of Partnership Quality on Outsourcing Success in Human Resources Functions	Outsourcing acts as an emergency exit which is offered by the human resources (HR) department to the executives having trouble in competitive environment. However, the quality of the relationship in partnerships and such is the primary factor in the supply process. Therefore, the hypotheses questioning how “Partnership Quality Model ”-accepted as credible and valid by Lee in the information systems outsourcing- and scale affect the partnership quality in outsourcing HR functions in Turkey, are tested on the outsourcing relationships among 81 companies and 34 supplier companies. As a result, it is found out that the key factors in outsourcing success are the decision process, partners, contract and partnership quality. Partnership quality, which is the independent variable of the study, is formed byfactors such as trust, business understanding, benefit/risk share, conflict and commitment. These factors are determined to be affected positively by certain determiners such as joint action, communication quality, information sharing, mutual dependency, cultural similarity and top management support. But they are affected negatively by the determiner, participation. And they are not affected all by the determiners, duration of the relationship and coordination	Dr. M. Fikret	2015	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.687.1131	oai:oai:CiteSeerX.psu:10.1.1.687.1131 oai:CiteSeerX.psu:10.1.1.687.1131		Key words, Human Resources Management, Outsourcing Succes, Partnership Quality					56%
Abstract Completeness of Integrated Information Sources	For many information domains there are numerous World Wide Web data sources. The sources vary both in their extension and their intension: They represent different real world entities with possible overlap and provide different attributes of these entities. Mediator-based information systems allow integrated access to such sources by providing a common schema against which the user can pose queries. Given a query, the mediator must determine which participating sources to access and how to integrate the incoming results. This article describes how to support mediators in their source selection and query planning process. We propose three new merge operators, which formalize the integration of multiple source responses. A completeness model describes the usefulness of a source to answer a query. The completeness measure incorporates both extensional value (called coverage) and intensional value (called density) of a source. We show how to determine the completeness of single sources and of combinations of sources under the new merge operators. Finally, we show how to use the measure for source selection and query planning	Felix Naumann and Johann-christoph Freytag and Ulf Leser	2008	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.84.8513	oai:oai:CiteSeerX.psu:10.1.1.84.8513 oai:CiteSeerX.psu:10.1.1.84.8513		Key words, Query planning, Coverage, Density, Information integration, Result size, Overlap					56%
Mobilt IntranätAnalys, design och utveckling av ett PDA-baserat system	This master thesis is based on an empirical study in an organization regarding their use of an existing mobile intranet solution. Design implications are identified and used as guidelines for the development of a mobile intranet system.Intranet and mobility are two research areas in which much research has been conducted. However there has not been any approach to merge these two areas as a base for development of a mobile intranet. Therefore this thesis contributes with new insights to the research area.We found that information for mobile PDA users needs to be regularly updated, be relevant andinteresting to motivate the use of the mobile intranet. User access to the information must be quick and the system must be simple to operate. These observations are analysed and result in four design implications: Caching of information, push technique, selectable information andPocket PC as operating system. These design implications are later on implemented in the development of a mobile intranet system, Spitinfo	Kuschel, Jonas and Bengtsson, Andreas and Andreasson, Niclas	2002	https://core.ac.uk/download/pdf/16309740.pdf	oai:gupea.ub.gu.se:2077/1222 oai:oai:gupea.ub.gu.se:2077/1222		Mobile intranet, mobility, push, PDA, caching.				issn:1651-4769, 1651-4769	56%
Context dependency and consumer acceptance of risk reducing strategies - A choice experiment study on Salmonella risks in pork	The paper investigates to what extent context dependency is present, when consumers are introduced to different risk reducing technologies and how this will affect their preferences for reductions in food risks. In particular, choice experiments are used to elicit consumer preferences for reducing Salmonella risks in pork using farm level interventions vs. decontamination of meat at the abattoir. We found an interesting asymmetry in the context dependency. The presence of the least preferred risk reduction technology (lactic acid decontamination) affected the relative preferences for the two most preferred technologies (farm level intervention relative to water decontamination). However, the presence of farm level intervention did not affect the relative preferences for the two least preferred technologies (decontamination using lactic acid relative to water). These results are in line with earlier findings of bad news having greater effect than good news — now applied to context dependency of preferences for food safety technologies	Morkbak, Morten Raun and Christensen, Tove and Dorte, Gyrd-Hansen	2012	https://espace.library.uq.edu.au/view/UQ:245093	10.1016/j.foodres.2011.02.020 doi:10.1016/j.foodres.2011.02.020 oai:espace.library.uq.edu.au:UQ:245093 oai:oai:espace.library.uq.edu.au:UQ:245093	'Elsevier BV'	Economic valuation, Willingness-to-pay, Choice experiments, Context dependence, Decontamination, Salmonella, 1106 Food Science		10.1016/j.foodres.2011.02.020			56%
Breakdown of interdependent directed networks.	Increasing evidence shows that real-world systems interact with one another via dependency connectivities. Failing connectivities are the mechanism behind the breakdown of interacting complex systems, e.g., blackouts caused by the interdependence of power grids and communication networks. Previous research analyzing the robustness of interdependent networks has been limited to undirected networks. However, most real-world networks are directed, their in-degrees and out-degrees may be correlated, and they are often coupled to one another as interdependent directed networks. To understand the breakdown and robustness of interdependent directed networks, we develop a theoretical framework based on generating functions and percolation theory. We find that for interdependent Erdős-Rényi networks the directionality within each network increases their vulnerability and exhibits hybrid phase transitions. We also find that the percolation behavior of interdependent directed scale-free networks with and without degree correlations is so complex that two criteria are needed to quantify and compare their robustness: the percolation threshold and the integrated size of the giant component during an entire attack process. Interestingly, we find that the in-degree and out-degree correlations in each network layer increase the robustness of interdependent degree heterogeneous networks that most real networks are, but decrease the robustness of interdependent networks with homogeneous degree distribution and with strong coupling strengths. Moreover, by applying our theoretical analysis to real interdependent international trade networks, we find that the robustness of these real-world systems increases with the in-degree and out-degree correlations, confirming our theoretical analysis. 	Liu, Xueming and Stanley, H Eugene and Gao, Jianxi	2016	https://dx.doi.org/10.1073/pnas.1523412113	pubmed:26787907 pmc:PMC4747761 doi:10.1073/pnas.1523412113 pii:1523412113		degree correlations, directed networks, interdependent networks, percolation theory		10.1073/pnas.1523412113	Proceedings of the National Academy of Sciences of the United States of America	issn:1091-6490	56%
The quest for a mechanistic understanding of biodiversity-ecosystem services relationships.	Ecosystem services (ES) approaches to biodiversity conservation are currently high on the ecological research and policy agendas. However, despite a wealth of studies into biodiversity's role in maintaining ES (B-ES relationships) across landscapes, we still lack generalities in the nature and strengths of these linkages. Reasons for this are manifold, but can largely be attributed to (i) a lack of adherence to definitions and thus a confusion between final ES and the ecosystem functions (EFs) underpinning them, (ii) a focus on uninformative biodiversity indices and singular hypotheses and (iii) top-down analyses across large spatial scales and overlooking of context-dependency. The biodiversity-ecosystem functioning (B-EF) field provides an alternate context for examining biodiversity's mechanistic role in shaping ES, focusing on species' characteristics that may drive EFs via multiple mechanisms across contexts. Despite acknowledgements of a need for B-ES research to look towards underlying B-EF linkages, the connections between these areas of research remains weak. With this review, we pull together recent B-EF findings to identify key areas for future developments in B-ES research. We highlight a means by which B-ES research may begin to identify how and when multiple underlying B-EF relationships may scale to final ES delivery and trade-offs. 	Duncan, Clare and Thompson, Julian R and Pettorelli, Nathalie	2015	https://dx.doi.org/10.1098/rspb.2015.1348	pii:rspb.2015.1348 pmc:PMC4633867 doi:10.1098/rspb.2015.1348 pubmed:26468240		biodiversity, biodiversity–ecosystem services relationships, ecosystem function, ecosystem services, mechanisms, proxies		10.1098/rspb.2015.1348	Proceedings. Biological sciences	issn:1471-2954	56%
[Dependency policies. Consequences for affected families].	Dependency creates a social problem whose burden falls upon the affected family and which causes problems in the lives and health of caretakers. A solution to these problems depends on the policies enacted. Nurses should know these policies and their consequences and act accordingly. For nurses to do so, the author has carried out a qualitative documented research project which analyzes the main Spanish dependency policies including the Geriatrics Plan and the following laws: regarding situations requiring living together and mutual aid, conciliation of working and personal lives, family caretaking for elderly and dependent relatives. This project's results indicate the aid provided consists in monetary loans and social services. The coverage provided by these aid programs is minimal or scarce. These programs promote keeping patients in need of dependency care in their homes under the care of relatives. There is little aid directed at caretakers and frequently such aid implies high personal costs. Nurses can and should contribute to bring awareness of these situations, to alleviate them and to modify some of these problems.	Escuredo Rodríguez, Bibiana	2008	https://www.ncbi.nlm.nih.gov/pubmed/18689211/	pubmed:18689211					Revista de enfermeria (Barcelona, Spain)	issn:0210-5020	56%
Personal constructs in adults with type 2 diabetes mellitus : a dependency grid analysis	This thesis presents an investigation into the personal constructs that people with type 2 diabetes use, to live and manage their condition. The approach adopted was underpinned by personal construct psychology, utilising qualitative and dependency grid methods to determine individual personal constructs in a multiple case series design. In the thesis a critical discussion is presented of current UK national policy and clinical guidelines in diabetes care. This found that gaps exist in the current evidence base, particularly in individual approaches and interventions provided by healthcare professional services. The synthesis of research literature in the experience of adults with type 2 diabetes showed that some common themes exist; achieving balance, normalising and psychological alterations. Furthermore the synthesis revealed that self-efficacy and personal model research studies in diabetes have found that these issues are influential in how people live and cope with their condition. Using a convenience sample of adults with type 2 diabetes, predominantly cared for in the community, a series of interviews were conducted in a sample of 23 participants. Ten participants completed all the stages of the research data collection and these are presented in the results as a case study series. The dependency grid technique required each participant to complete a series of grid ratings of constructs and elements associated with their living with type 2 diabetes. The results of the exploratory qualitative interviews were five major themes of family, relationships and interactions; social-life/activity; emotional changes/support; meaningful work/sense of worth; and making adiustments/diabetes functional activity. The themes were translated into the dependency grids as constructs and participants then rated people as elements against these constructs. The analysis of the ten case studies showed personal constructs associated with interdependence with family, friends and healthcare professionals. The interdependence identified had strong or weak associations with diabetes related constructs depending on how each individual participant had rated them. The findings suggest that people with type 2 diabetes do not always consider primary care services as appropriate for their needs and contrast this with the value they previously made to secondary care services. Each individual has developed their own level of interdependence with some type 2 patients with diabetes being self reliant or using family members/friends more than professional health services. Recommendations include further exploration of interdependence in type 2 diabetes. Limitations of the study include sample issues, and a methodological approach that is educative and lengthy in implementation.EThOS - Electronic Theses Online ServiceGBUnited Kingdo	Gillibrand, Warren Peter	2006	https://core.ac.uk/download/pdf/40006166.pdf	hdl:10068/1002011		06E - Medicine, R Medicine (General)					56%
"<img src=""http://openjournals.net/files/pics/CEU.gif""/>  Exploring the development of an organisational culture of control and dependency from a systems psychodynamic perspective"	Orientation: Globalisation and accelerating rates of change characterise the work environment.Research purpose: The aim of this research was to study the impact of the change process at a plant of a South African production company.Motivations for the study: Problems were experienced in terms of production and a need for  transformation at different levels was expressed. Co-dependence in the environment necessitated exploration of intra-organisational dynamics.Research design, approach and method: The study focused on the management team at a specifc  plant, but by applying the systems psychodynamic perspective it was possible to also explore the  mutual effect of relationships with other systems in the organisation, the company as a whole and the environment. Respondents included the directors of manufacturing and of human resources,  the general manager, an 11-member management team and staff representatives. Semi-structured one-to-one interviews, group interviews and a group consultation session were held.Main findings: Hypotheses were formulated regarding the change experienced in the company, the overemphasis of control in the various systems, efforts to move from dependency to interdependence, personal authority as a requirement for interdependent functioning and problems with interrelatedness.Practical/managerial implications: The study illustrates the application of the systems psychodynamic approach in exploring the interaction between and mutual infuence of various organisational systems, especially in times of change.Contribution/value add: At a broader level, the study contributes to the understanding of the application of the theory as well as suggesting the use of a methodology. Recommendations for an intervention of this nature were also made	René van Eeden	2010	https://doaj.org/toc/2071-0763	oai:oai:doaj.org/article:059c91bfc283451a9a846647251c8441 oai:doaj.org/article:059c91bfc283451a9a846647251c8441 doi:10.4102/sajip.v36i1.854 10.4102/sajip.v36i1.854	AOSIS	organisational behaviour, organisational dynamics, group relations theory, open systems theory, psychoanalysis, Industrial psychology, HF5548.7-5548.85		10.4102/sajip.v36i1.854		issn:2071-0763, 2071-0763, issn:0258-5200, 0258-5200	56%
The interorganizational cooperation and conflict among agricultural support organizations in Khon Kaen province, Thailand	Interorganizational cooperation or conflict among agricultural support organizations affects the efforts of agricultural development. Several sociological theories were used to provide a backdrop for understanding interorganizational relationships among agricultural support organizations. Data were collected from face-to-face interviews with 127 respondents from 74 organizations in Khon Kaen province, Thailand. LISREL was used to evaluate the theoretical model and to test the hypotheses with two groups of organizations. Data analysis shows that frequency of contact did not significantly contribute to the explained variation of both cooperation and conflict. Perceived interdependence was found to be associated with cooperation whereas perceived competition was correlated with both cooperation and conflict. Domain consensus appears to be less important in explaining the variation of cooperation and conflict. Goal similarity was negatively related to both cooperation and conflict. Local dependency significantly correlated with domain consensus, perceived interdependence, and perceived competition in Group 1, but not in Group 2 organizations. Awareness contributed significantly to the explained variation of perceived interdependence, perceived competition, but not to domain consensus in both groups. The theoretical model was evaluated by several procedures. The evaluation indicated that the proposed model did not fit the data	Chamruspanth, Viyouth	1987	http://lib.dr.iastate.edu/cgi/viewcontent.cgi?article=9516	oai:oai:lib.dr.iastate.edu:rtd-9516 oai:lib.dr.iastate.edu:rtd-9516	Iowa State University Digital Repository	Rural sociology, Industrial and labor relations, Sociology and anthropology, Rural Sociology					56%
Providing scalable on-demand interactive video service by means of multicasting and client buffering	"True-VOD provides interactive on-demand (i.e., virtually zero start-up delay) video service by allocating each user a dedicated stream. Such streaming technique, however, cannot scale up to accommodate a large number of users. A more scalable solution is to use multicasting and client buffering. In this paper, we propose a client-initiated (client-pull) on-demand scheme in which short unicast streams are used to ""merge"" users onto the existing multicast streams by means of pre-buffering. The scheme is observed to trade off some bandwidth with lower buffer requirement as compared with a previously proposed scheme. We then propose and analyze a server-initiated (server-push) scheme for on-demand interactive applications. The scheme is shown to offer service level similar to true-VOD with substantially (many times) lower bandwidth, even with high user interactivity (e.g., averaged ten VCR commands/viewing)"	Chan, S.-H.G. and Chang, E.	2001	http://gateway.isiknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=LinksAMR&SrcApp=PARTNER_APP&DestLinkType=FullRecord&DestApp=WOS&KeyUT=000173159000307	oai:oai:repository.ust.hk:1783.1-42523 oai:repository.ust.hk:1783.1-42523		Bandwidth requirement, Client buffering, Interactive service, Multicasting, Video-on-demand (VOD)				issn:0536-1486, 0536-1486	55%
Real-time foresight: preparedness for dynamic innovation networks	Collaborative innovation processes in unpredictable environments are a challenge for traditional management. But new demands in a global digital society push public and corporate leadership to collaborate ad hoc, without predictable goals and planned working rules. In this study, an actor-network approach (ANT) is combined with critical incident technique (CIT) to elaborate dynamic network principles for a new real-time foresight (RTF).Real-time foresight replaces traditional planning and strategic management in ad hoc multi-sector collaborations. Although ANT originates from science and technologies studies, it is here applied to a management problem due to ist ability to merge voluntaristic and evolutionary managerial components and micro- and macro perspectives. The investigation is placed in an exemplary management field of high dynamics: global disaster management. From process analysis and from comparison of three dynamic innovation networks that emerged around Indian coastal villages after Tsunami 2004, five dynamic network patterns are obtained which underly successful collaborative innovation processes. These dynamic structures build the agenda for a new real-time foresight, and for an instrument to evaluate in real-time the emergence of dynamic innovation networks (DINs)	Weber, C.R.M.	2016	http://www.loc.gov/mods/v3	ul:oai:openaccess.leidenuniv.nl:1887/45051							55%
Real-time foresight : preparedness for dynamic innovation networks	Collaborative innovation processes in unpredictable environments are a challenge for traditional management. But new demands in a global digital society push public and corporate leadership to collaborate ad hoc, without predictable goals and planned working rules. In this study, an actor-network approach (ANT) is combined with critical incident technique (CIT) to elaborate dynamic network principles for a new real-time foresight (RTF).Real-time foresight replaces traditional planning and strategic management in ad hoc multi-sector collaborations. Although ANT originates from science and technologies studies, it is here applied to a management problem due to ist ability to merge voluntaristic and evolutionary managerial components and micro- and macro perspectives. The investigation is placed in an exemplary management field of high dynamics: global disaster management. From process analysis and from comparison of three dynamic innovation networks that emerged around Indian coastal villages after Tsunami 2004, five dynamic network patterns are obtained which underly successful collaborative innovation processes. These dynamic structures build the agenda for a new real-time foresight, and for an instrument to evaluate in real-time the emergence of dynamic innovation networks (DINs)	Weber, C.R.M.	2016	https://core.ac.uk/download/pdf/82997562.pdf	oai:openaccess.leidenuniv.nl:1887/45051 oai:oai:openaccess.leidenuniv.nl:1887/45051		Dynamic innovation process, Actor-network theory, Critical incidents, Disaster management, Real-time					55%
When Stakes are High and Guards are Low: High-Quality Connections in Knowledge Creation	We provide a first qualitative empirical investigation of the dynamics of high-quality connections in organizational knowledge creation through a comparative analysis of two organizations involved in management consulting and oil exploration. The study combines approaches from positive organizational scholarship with practice-based studies. We found three types of positively deviant practices for knowledge creation where high-quality connections play a major role: (i) Intensifying collaboration is a response to felt urgency and mutual dependency in high-stakes projects and involves expanding the types of interactions and the emotional intensity in knowledge creation. (ii) Caring questioning unfolds when inviting, open-ended and appreciative questions enable joint dwelling on problems and stimulate help-seeking and help-giving. (iii) Getting physical takes place when the making of collaborative space and use of shared visuals and artifacts enlarge the sensory-motor connectivity in knowledge creation. The paper contributes to both the literature on high-quality connections and knowledge creation, showing how the two phenomena are mutually shaping in positively deviant practice. We shed new light on knowledge creation as informal social processes emerging in daily work. Unlike previous research on high-quality connections, we show how they are first of all ignited by the pull dynamic of high-stakes projects, with caring questioning and getting physical as the fuel that keeps the fire burning	Aarrestad, Martine and Brøndbo, Marthe Turnes and Carlsen, Arne	2015	http://hdl.handle.net/11250/2395101	oai:oai:brage.bibsys.no:11250/2395101 oai:brage.bibsys.no:11250/2395101	Wiley						55%
Old habits die hard: Exploring the effect of supply chain dependency and culture on performance outcomes and relationship satisfaction	This study examines the effect of dependency and culture on relationship performance and satisfaction in an interdependent supply chain. Several studies have empirically tested the relationship between dependence and outcomes but none, to our knowledge, have included the multifaceted construct of organisational culture (OC) as a mediating variable. This study takes a theory-building, longitudinal case-study approach using mixed methods to understand the dynamic between dependence and culture and proposes that interdependence will lead to collaborative OCs over the long term (over five years), and this will positively influence relationship performance and satisfaction. However, our study finds that the rhetoric does not match the reality: interdependence in a supply chain relationship does not necessarily lead to a collaborative culture. It appears that firms use the term \u27collaborative\u27 as another term for risk management, are still wedded to transactional mechanisms rather than relational mechanisms and are opportunistic in their behaviour when the opportunity presents itself. We also find that collaborative culture is more apparent at the operational level but missing at the strategic level. When a true collaborative culture is absent, satisfaction and performance decline; when it is present, these increase. We propose that when a culture of true collaboration exists this is more stable over time but when this is missing the culture fluctuates between relational and transactional practices	Cadden, Trevor and Marshall, Donna and Humphreys, Paul and Yang, Ying	2015	http://dx.doi.org/10.1080/09537287.2013.848478	http://www.rian.ie/103709/ 10.1080/09537287.2013.848478 doi:10.1080/09537287.2013.848478	Taylor and Francis	Supply chain relationships, Dependence, Organisational culture, Performance, Satisfaction		10.1080/09537287.2013.848478			55%
The impact op power and dependence in Buyer-Supplier Relationships on the use of electronic reverse auctions. En empirical study among public an private sector procurement professionals in the Netherlands	Electronic reverse auctions (ERAs) are globally used to reduce costs. Buyers praised ERAs for bringing significant direct savings. However, ERA benefits were exaggerated, ERAs can negatively impact buyer-supplier relationships, and ERAs challenge suppliers’ trust in buyers. Therefore, authors suggest empirical research into the determinants of ERA use and suggest studying the impact of buyer and supplier power on ERA use. This study aims at a new perspective on determinants of perceived ERA appropriateness (PEA), by answering the problem statement: “What is the impact of power and dependence in buyer-supplier relationships on procurement professionals’ perceived ERA appropriateness?”. This is done by testing a conceptual framework and six hypotheses, based on an extensive literature review of transaction cost economics, governance, and power and dependence. The hypothesis are empirically tested by an electronic survey questionnaire among business-to-business procurement professionals in a sampling frame of 1,702 Dutch organisations in the public and private sectors. Through LinkedIn, procurement professionals are randomly contacted, and are questioned on their experiences, perceptions and opinions concerning ERAs. A total of 1,039 questionnaire invitations were sent and 243 usable responses were received. A multiple regression analysis was performed with a 95% reliability level, which showed that just 5.4% of the variance in the dependent variable PEA can be explained by the independent variables asset specificity, non-contractibility, contractual governance, relational governance, buyer net dependence and total interdependence in the statistically significant conceptual model. Only the variable buyer net dependence has a statistically significant unique contribution in predicting the dependent variable PEA. Firstly, in regard to the expectation that asset specificity has a negative impact on PEA no supporting results were found. Similarly, in regard to the expectation that non-contractibility has a negative impact on PEA no supporting results were found. Thirdly, no supporting results were found for the expectation that contractual governance has a positive impact on PEA. Fourthly and likewise, no supporting results were found for the expectation that relational governance has a negative impact on PEA. Fifthly, supporting results were found for the expectation that buyer net dependence has a positive impact on PEA. This study, therefore, confirms that a buyer’s dependence on a supplier is a potential supplier power source and that the least dependent party dominates the exchange. Therefore, in a supplier dominance situation, the option for using an ERA is less likely. This significant explanatory power of buyer net dependence on PEA is the core result of this study. It shows that procurement professionals will favour ERAs in situations where they have less dependency on suppliers than vice versa and shows that procurement professionals will try to avoid ERAs or will prefer other sourcing methods than ERAs in circumstances where they have more dependency on suppliers than vice versa. Finally, no supporting results were found for the expectation that total interdependence has a negative impact on PEA. The study findings seem to underline that ERAs tend to be used by buyers with supplier leverage in order to utilise their power position. This study’s findings can help practitioners use ERAs more effectively. Supporting empirical results showed that buyer net dependence has a positive impact on PEA. The practical operationalisation of buyer and supplier dependence enables procurement professionals to assess buyer net dependence. Another relevant empirical finding is that no support was found for a positive impact on PEA of contractual governance, or a negative impact on PEA of relational governance. For practitioners this could mean that even in a situation that is characterised by a relational approach of the buyer-supplier relationship, the option of using an ERA does not have to be excluded automatically	Nagel, B.W.	2014	https://core.ac.uk/download/pdf/55538262.pdf	oai:dspace.ou.nl:1820/5525 oai:oai:dspace.ou.nl:1820/5525	Open Universiteit Nederland	Power, dependence, electronic reverse auctions, buyer-seller relationships					55%
Lifelong Learning Hub: A Seamless Tracking Tool for Mobile Learning	Lifelong learners’ learning activities are scattered along the day in different locations and they make use of multiple devices. Most of the times adults have to merge learning, work and everyday life making it difficult to have an account on how much time is devoted to learning activities and learning goals. Learning experiences are disrupted and mobile seamless learning tech- nology has to find new solutions to integrate daily life activities and learning in the same process. Hence, there is a need to provide tools that are smoothly inte- grated into adults’ daily life. The contribution of this demonstration is present- ing a mobile tool that leads the lifelong learning towards a self-regulated pro- cess: foster awareness on learning goals and learning moments; facilitates the user to keep track of learning time with frictionless interface; fosters engage- ment and motivation on the task providing useful statistics. The 3LHub project has been released under open access with the aim to foster adaptation to further communities as well as to facilitate the extension to the increasing number of NFC tags existent in the marke	Tabuenca, Bernardo and Kalz, Marco and Specht, Marcus	2014	https://core.ac.uk/download/pdf/55538285.pdf	oai:oai:dspace.ou.nl:1820/5550 oai:dspace.ou.nl:1820/5550		self-regulation, lifelong learning, feedback, learning analytics				0302-9743, issn:0302-9743	55%
Lifelong Learning Hub: A Seamless Tracking Tool for Mobile Learning	Lifelong learners’ learning activities are scattered along the day in different locations and they make use of multiple devices. Most of the times adults have to merge learning, work and everyday life making it difficult to have an account on how much time is devoted to learning activities and learning goals. Learning experiences are disrupted and mobile seamless learning tech- nology has to find new solutions to integrate daily life activities and learning in the same process. Hence, there is a need to provide tools that are smoothly inte- grated into adults’ daily life. The contribution of this demonstration is present- ing a mobile tool that leads the lifelong learning towards a self-regulated pro- cess: foster awareness on learning goals and learning moments; facilitates the user to keep track of learning time with frictionless interface; fosters engage- ment and motivation on the task providing useful statistics. The 3LHub project has been released under open access with the aim to foster adaptation to further communities as well as to facilitate the extension to the increasing number of NFC tags existent in the marke	Tabuenca, Bernardo and Kalz, Marco and Specht, Marcus	2014	http://www.openarchives.org/OAI/2.0/oai_dc/	ou:oai:dspace.ou.nl:1820/5550							55%
S2P: A software tool to quickly carry out reproducible biomedical research projects involving 2D-gel and MALDI-TOF MS protein data.	2D-gel electrophoresis is widely used in combination with MALDI-TOF mass spectrometry in order to analyze the proteome of biological samples. For instance, it can be used to discover proteins that are differentially expressed between two groups (e.g. two disease conditions, case vs. control, etc.) thus obtaining a set of potential biomarkers. This procedure requires a great deal of data processing in order to prepare data for analysis or to merge and integrate data from different sources. This kind of work is usually done manually (e.g. copying and pasting data into spreadsheet files), which is highly time consuming and distracts the researcher from other important, core tasks. Moreover, engaging in a repetitive process in a non-automated, handling-based manner is prone to error, thus threatening reliability and reproducibility. The objective of this paper is to present S2P, an open source software to overcome these drawbacks.S2P is implemented in Java on top of the AIBench framework, and relies on well-established open source libraries to accomplish different tasks.S2P is an AIBench based desktop multiplatform application, specifically aimed to process 2D-gel and MALDI-mass spectrometry protein identification-based data in a computer-aided, reproducible manner. Different case studies are presented in order to show the usefulness of S2P.S2P is open source and free to all users at http://www.sing-group.org/s2p. Through its user-friendly GUI interface, S2P dramatically reduces the time that researchers need to invest in order to prepare data for analysis.	López-Fernández, Hugo and Araújo, José E and Jorge, Susana and Glez-Peña, Daniel and Reboiro-Jato, Miguel and Santos, Hugo M and Fdez-Riverola, Florentino and Capelo, José L	2017	https://dx.doi.org/10.1016/j.cmpb.2017.11.024	doi:10.1016/j.cmpb.2017.11.024 pii:S0169-2607(17)31070-2 pubmed:29512488		2D-gel, Data processing, LC-MS/MS, MALDI-TOF-MS, Protein identification, emPAI		10.1016/j.cmpb.2017.11.024	Computer methods and programs in biomedicine	issn:1872-7565	55%
Mashups: Patterns and Development Tools	In recent years major web services have opened their systems to outside use through the imple-mentation of public APIs. As a result, web devel-opers have begun to experiment with Mashups — software applications that merge separate APIs and data sources into one integrated interface. Be-cause the APIs and data sources are publicly available, in principle anyone can create a Mashup. However, because relatively advanced programming languages are required to integrate these APIs, creating a Mashup still requires con-siderable programming expertise. I conducted a qualitative survey of high quality Mashups, as nominated in two popular directories, and exam-ined how the Mashups made use of existing web-sites or improved upon them, how data from mul-tiple websites were combined, and what kinds of user tasks these Mashups might be suitable for. I have described a set of patterns what I have found in our sample Mashups. This paper describes pre-liminary work in the uncovering of Mashup pat-terns in order to find new directions for the design of Mashup tools	Mathindri Pathiraja	2015	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.599.4823	oai:oai:CiteSeerX.psu:10.1.1.599.4823 oai:CiteSeerX.psu:10.1.1.599.4823		Web2.0, Mashup, API, RSS, Patterns					55%
Dynamic interdependence and competition in multilayer networks	From critical infrastructure, to physiology and the human brain, complexsystems rarely occur in isolation. Instead, the functioning of nodes in onesystem often promotes or suppresses the functioning of nodes in another.Despite advances in structural interdependence, modeling interdependence andother interactions between dynamic systems has proven elusive. Here we define abroadly applicable dynamic dependency link and develop a general framework forinterdependent and competitive interactions between general dynamic systems. Weapply our framework to studying interdependent and competitive synchronizationin multi-layer oscillator networks and cooperative/competitive contagions in anepidemic model. Using a mean-field theory which we verify numerically, we findexplosive transitions and rich behavior which is absent in percolation modelsincluding hysteresis, multi-stability and chaos. The framework presented hereprovides a powerful new way to model and understand many of the interactingcomplex systems which surround us	Danziger, Michael M. and Bonamassa, Ivan and Boccaletti, Stefano and Havlin, Shlomo	2017	http://arxiv.org/abs/1705.00241	oai:arXiv.org:1705.00241 oai:oai:arXiv.org:1705.00241		Condensed Matter - Statistical Mechanics, Nonlinear Sciences - Adaptation and Self-Organizing Systems, Physics - Physics and Society					55%
